#       r             R(r)          X(r)=rR(r)          e
  1.109898e+00   4.093774e-08   4.543670e-08  -4.000000e+02
  1.121052e+00   3.275183e-08   3.671651e-08  -4.000000e+02
  1.132319e+00   2.614408e-08   2.960344e-08  -4.000000e+02
  1.143699e+00   2.082226e-08   2.381439e-08  -4.000000e+02
  1.155193e+00   1.654584e-08   1.911364e-08  -4.000000e+02
  1.166803e+00   1.311735e-08   1.530537e-08  -4.000000e+02
  1.178530e+00   1.037505e-08   1.222731e-08  -4.000000e+02
  1.190374e+00   8.186733e-09   9.745276e-09  -4.000000e+02
  1.202338e+00   6.444616e-09   7.748604e-09  -4.000000e+02
  1.214421e+00   5.061031e-09   6.146225e-09  -4.000000e+02
  1.226627e+00   3.964845e-09   4.863383e-09  -4.000000e+02
  1.238954e+00   3.098474e-09   3.838868e-09  -4.000000e+02
  1.251406e+00   2.415424e-09   3.022676e-09  -4.000000e+02
  1.263983e+00   1.878243e-09   2.374067e-09  -4.000000e+02
  1.276686e+00   1.456842e-09   1.859930e-09  -4.000000e+02
  1.289517e+00   1.127104e-09   1.453420e-09  -4.000000e+02
  1.302477e+00   8.697524e-10   1.132832e-09  -4.000000e+02
  1.315567e+00   6.694155e-10   8.806610e-10  -4.000000e+02
  1.328789e+00   5.138700e-10   6.828246e-10  -4.000000e+02
  1.342143e+00   3.934200e-10   5.280260e-10  -4.000000e+02
  1.355632e+00   3.003958e-10   4.072262e-10  -4.000000e+02
  1.369256e+00   2.287461e-10   3.132121e-10  -4.000000e+02
  1.383018e+00   1.737098e-10   2.402437e-10  -4.000000e+02
  1.396917e+00   1.315508e-10   1.837655e-10  -4.000000e+02
  1.410956e+00   9.934573e-11   1.401725e-10  -4.000000e+02
  1.425137e+00   7.481340e-11   1.066193e-10  -4.000000e+02
  1.439460e+00   5.617869e-11   8.086696e-11  -4.000000e+02
  1.453926e+00   4.206429e-11   6.115837e-11  -4.000000e+02
  1.468539e+00   3.140454e-11   4.611878e-11  -4.000000e+02
  1.483298e+00   2.337738e-11   3.467561e-11  -4.000000e+02
  1.498205e+00   1.735045e-11   2.599453e-11  -4.000000e+02
  1.513262e+00   1.283879e-11   1.942846e-11  -4.000000e+02
  1.528471e+00   9.471594e-12   1.447705e-11  -4.000000e+02
  1.543832e+00   6.966175e-12   1.075460e-11  -4.000000e+02
  1.559348e+00   5.107691e-12   7.964667e-12  -4.000000e+02
  1.575020e+00   3.733364e-12   5.880121e-12  -4.000000e+02
  1.590849e+00   2.720244e-12   4.327497e-12  -4.000000e+02
  1.606837e+00   1.975757e-12   3.174719e-12  -4.000000e+02
  1.622986e+00   1.430419e-12   2.321550e-12  -4.000000e+02
  1.639297e+00   1.032246e-12   1.692159e-12  -4.000000e+02
